transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
07/03/2017,Joint,OKE,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",52,242
06/11/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",64,278
06/01/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",62,273
06/04/2018,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",21,274
06/04/2018,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",21,274
05/21/2018,Self,SHW,Stock,Sale (Partial),"$1,001 - $15,000",Gary C Peters,130,273
06/25/2018,Spouse,AMZN,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,1679,271
06/25/2018,Spouse,NFLX,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,393,271
06/22/2018,Spouse,CVX,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,125,275
06/22/2018,Spouse,NFLX,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,415,275
06/22/2018,Spouse,AMZN,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,1728,275
06/19/2018,Self,CRSP,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,61,274
06/04/2018,Self,BMY,Stock,Sale (Full),"$50,001 - $100,000",James M Inhofe,51,274
05/29/2018,Self,CLR,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,64,269
06/07/2018,Self,MET,Stock,Purchase,"$50,001 - $100,000",John Hoeven,47,277
06/07/2018,Self,CVS,Stock,Purchase,"$50,001 - $100,000",John Hoeven,65,277
06/01/2018,Self,AMZN,Stock,Purchase,"$50,001 - $100,000",John Hoeven,1640,273
06/01/2018,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",54,273
05/08/2018,Spouse,JPM,Stock,Purchase,"$15,001 - $50,000",Susan M Collins,110,266
05/08/2018,Spouse,USB,Stock,Sale (Full),"$1,001 - $15,000",Susan M Collins,50,266
05/04/2018,Spouse,HOLX,Stock,Sale (Full),"$15,001 - $50,000",Susan M Collins,37,263
06/01/2018,Spouse,TCMD,Stock,Sale (Partial),"$100,001 - $250,000",Tina Smith,50,273
06/01/2018,Spouse,TCMD,Stock,Sale (Full),"$100,001 - $250,000",Tina Smith,50,273
06/01/2018,Spouse,PODD,Stock,Sale (Partial),"$100,001 - $250,000",Tina Smith,94,273
05/17/2018,Spouse,RCL,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,107,272
05/18/2018,Spouse,BNPQY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,36,271
05/02/2018,Self,BOX,Stock,Sale (Partial),"$1,001 - $15,000",Patrick J Toomey,23,264
05/02/2018,Self,BOX,Stock,Purchase,"$1,001 - $15,000",Patrick J Toomey,23,264
05/07/2018,Joint,C,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,68,266
05/07/2018,Joint,AMZN,Stock,Purchase,"$15,001 - $50,000",Sheldon Whitehouse,1596,266
05/07/2018,Joint,CB,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,132,266
05/07/2018,Joint,HD,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,184,266
05/07/2018,Joint,MCD,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,165,266
05/24/2018,Joint,F,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,11,272
05/24/2018,Joint,ETN,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,78,272
05/24/2018,Joint,BUD,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,95,272
05/24/2018,Joint,ADI,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,94,272
05/24/2018,Joint,IBM,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,143,272
05/07/2018,Self,TSLA,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,60,266
05/07/2018,Self,MGA,Stock,Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse,60,266
05/23/2018,Self,T,Stock,Sale (Partial),"$50,001 - $100,000",John Hoeven,32,272
05/23/2018,Self,GIS,Stock,Sale (Partial),"$50,001 - $100,000",John Hoeven,42,272
05/31/2018,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",21,271
05/29/2018,Joint,BAC,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",29,269
05/29/2018,Joint,UHAL,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",352,269
05/25/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",64,272
05/24/2018,Joint,DIS,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",102,272
05/23/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",63,272
05/22/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",59,273
05/22/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",59,273
05/22/2018,Joint,PEP,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",99,273
05/21/2018,Joint,CRMT,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",54,273
05/17/2018,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",23,272
05/16/2018,Joint,PEP,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",96,271
05/15/2018,Joint,HBI,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",17,271
05/10/2018,Joint,GLW,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",27,271
05/08/2018,Joint,HBI,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",16,266
05/08/2018,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",23,266
05/04/2018,Joint,TWX,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",92,263
05/04/2018,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",23,263
05/04/2018,Joint,HBI,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",16,263
05/02/2018,Joint,FEYE,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",18,264
05/01/2018,Joint,FEYE,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",18,264
05/01/2018,Joint,FEYE,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",18,264
05/01/2018,Joint,HBI,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",18,264
05/15/2018,Spouse,BAC,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,31,271
04/23/2018,Spouse,GILD,Stock,Sale (Partial),"$1,001 - $15,000","Angus S King, Jr.",73,266
08/31/2017,Child,FE,Stock,Sale (Partial),"$1,001 - $15,000","Robert P Casey, Jr.",32,247
04/23/2018,Spouse,VFC,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,73,266
04/23/2018,Spouse,UPS,Stock,Purchase,"$1,001 - $15,000",William Cassidy,108,266
04/23/2018,Spouse,SBUX,Stock,Purchase,"$1,001 - $15,000",William Cassidy,58,266
04/23/2018,Spouse,PG,Stock,Purchase,"$1,001 - $15,000",William Cassidy,73,266
04/23/2018,Spouse,MSFT,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,95,266
04/23/2018,Spouse,MDT,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,80,266
04/23/2018,Spouse,LOW,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,84,266
04/23/2018,Spouse,IBM,Stock,Purchase,"$1,001 - $15,000",William Cassidy,145,266
04/23/2018,Spouse,GWW,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,287,266
04/25/2018,Spouse,XOM,Stock,Purchase,"$1,001 - $15,000",William Cassidy,78,262
04/23/2018,Spouse,EMR,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,70,266
04/23/2018,Spouse,CMCSA,Stock,Purchase,"$1,001 - $15,000",William Cassidy,33,266
04/23/2018,Spouse,CSCO,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,44,266
04/23/2018,Spouse,CVS,Stock,Purchase,"$1,001 - $15,000",William Cassidy,65,266
04/23/2018,Spouse,BLK,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,522,266
04/23/2018,Spouse,AFL,Stock,Purchase,"$1,001 - $15,000",William Cassidy,45,266
03/05/2018,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",57,270
12/05/2017,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",58,263
09/07/2017,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",49,246
04/23/2018,Self,BOX,Stock,Purchase,"$1,001 - $15,000",Patrick J Toomey,22,266
02/27/2017,Spouse,ENB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,41,236
04/20/2017,Spouse,PTEN,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,22,234
04/24/2018,Spouse,WEC,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,62,264
04/24/2018,Spouse,WMT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,86,264
04/24/2018,Spouse,VFC,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,73,264
04/24/2018,Spouse,USB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,50,264
04/24/2018,Spouse,MMM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,202,264
04/24/2018,Spouse,TGT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,70,264
04/24/2018,Spouse,SYY,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,61,264
04/24/2018,Spouse,QCOM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,50,264
04/24/2018,Spouse,PG,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,72,264
04/24/2018,Spouse,PII,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,113,264
04/24/2018,Spouse,PSX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,110,264
04/24/2018,Spouse,PEP,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,101,264
04/24/2018,Spouse,PAYX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,60,264
04/24/2018,Spouse,NVS,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,69,264
04/24/2018,Spouse,NSC,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,136,264
04/24/2018,Spouse,NKE,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,67,264
04/24/2018,Spouse,NEE,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,40,264
04/24/2018,Spouse,JPM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,111,264
04/24/2018,Spouse,MSFT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,94,264
04/24/2018,Spouse,MDT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,79,264
04/24/2018,Spouse,MCD,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,158,264
04/24/2018,Spouse,LOW,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,83,264
04/24/2018,Spouse,JNJ,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,126,264
04/24/2018,Spouse,IBM.MX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,2757,264
04/24/2018,Spouse,ITW,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,153,264
04/24/2018,Spouse,GIS,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,44,264
04/24/2018,Spouse,GD,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,224,264
04/24/2018,Spouse,FDS,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,193,264
04/24/2018,Spouse,XOM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,79,264
04/24/2018,Spouse,ES,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,59,264
04/24/2018,Spouse,EMR,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,69,264
04/24/2018,Spouse,CL,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,66,264
04/24/2018,Spouse,CLX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,114,264
04/24/2018,Spouse,CSCO,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,44,264
04/24/2018,Spouse,CB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,136,264
04/24/2018,Spouse,CVX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,123,264
04/24/2018,Spouse,BLK,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,517,264
04/24/2018,Spouse,BDX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,232,264
04/24/2018,Spouse,ADP,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,117,264
04/24/2018,Spouse,ADI,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,88,264
04/24/2018,Spouse,AMGN,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,173,264
04/24/2018,Spouse,APD,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,164,264
04/24/2018,Spouse,ACN,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,152,264
04/24/2018,Spouse,ABT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,58,264
04/24/2018,Spouse,T,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,35,264
04/24/2018,Spouse,AFL,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,45,264
04/24/2018,Spouse,VGK,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,59,264
04/24/2018,Spouse,UBSI,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,35,264
04/24/2018,Spouse,NSRGY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,76,264
04/24/2018,Spouse,MS,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,53,264
04/24/2018,Spouse,LULU,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,97,264
04/24/2018,Spouse,IYE,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,40,264
04/24/2018,Spouse,KHC,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,57,264
04/24/2018,Spouse,RHHBY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,28,264
04/24/2018,Spouse,CLB,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,120,264
04/24/2018,Spouse,CME,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,163,264
04/24/2018,Spouse,BRK-B,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,198,264
04/24/2018,Spouse,AL,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,42,264
04/05/2018,Spouse,WEC,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,62,265
04/05/2018,Spouse,WMT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,87,265
04/05/2018,Spouse,VFC,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,72,265
04/05/2018,Spouse,USB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,51,265
04/05/2018,Spouse,MMM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,218,265
04/05/2018,Spouse,SYY,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,60,265
04/05/2018,Spouse,PII,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,116,265
04/05/2018,Spouse,PSX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,97,265
04/05/2018,Spouse,PEP,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,110,265
04/05/2018,Spouse,PAYX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,62,265
04/05/2018,Spouse,NSC,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,133,265
04/05/2018,Spouse,NEE,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,40,265
04/05/2018,Spouse,JPM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,111,265
04/05/2018,Spouse,MSFT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,92,265
04/05/2018,Spouse,MDT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,79,265
04/06/2018,Spouse,MCD,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,162,261
04/05/2018,Spouse,LOW,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,88,265
04/05/2018,Spouse,JNJ,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,130,265
04/05/2018,Spouse,ITW,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,158,265
04/05/2018,Spouse,GD,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,220,265
04/05/2018,Spouse,ES,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,59,265
04/05/2018,Spouse,EMR,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,68,265
04/05/2018,Spouse,CL,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,71,265
04/05/2018,Spouse,CLX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,129,265
04/05/2018,Spouse,CSCO,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,41,265
04/05/2018,Spouse,CB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,136,265
04/05/2018,Spouse,CVX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,116,265
04/05/2018,Spouse,BLK,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,539,265
04/05/2018,Spouse,BDX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,219,265
04/05/2018,Spouse,ADP,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,117,265
04/05/2018,Spouse,ADI,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,91,265
04/05/2018,Spouse,AMGN,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,172,265
04/04/2018,Spouse,APD,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,159,260
04/05/2018,Spouse,ACN,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,151,265
04/05/2018,Spouse,ABT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,59,265
04/05/2018,Spouse,T,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,35,265
04/05/2018,Spouse,AFL,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,44,265
04/05/2018,Spouse,UBSI,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,35,265
04/04/2018,Self,MDLZ,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,41,260
02/28/2017,Spouse,ENB,Stock,Purchase,"$15,001 - $50,000",Susan M Collins,41,236
05/03/2018,Self,V,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,126,261
05/03/2018,Self,UNH,Stock,Sale (Partial),"$50,001 - $100,000",James M Inhofe,232,261
05/03/2018,Self,CRM,Stock,Sale (Partial),"$1,001 - $15,000",James M Inhofe,123,261
05/03/2018,Self,PEP,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,97,261
05/03/2018,Self,MSFT,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,93,261
05/03/2018,Self,LH,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,169,261
05/03/2018,Self,XOM,Stock,Sale (Full),"$50,001 - $100,000",James M Inhofe,76,261
05/03/2018,Self,DFS,Stock,Sale (Full),"$15,001 - $50,000",James M Inhofe,69,261
05/03/2018,Self,DAL,Stock,Sale (Partial),"$1,001 - $15,000",James M Inhofe,51,261
05/03/2018,Self,CLR,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,64,261
05/03/2018,Self,COHR,Stock,Sale (Full),"$50,001 - $100,000",James M Inhofe,170,261
05/03/2018,Self,C,Stock,Sale (Partial),"$1,001 - $15,000",James M Inhofe,67,261
05/03/2018,Self,KMX,Stock,Sale (Partial),"$1,001 - $15,000",James M Inhofe,63,261
05/03/2018,Self,BAM,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,26,261
05/03/2018,Self,BLK,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,510,261
05/03/2018,Self,GOOGL,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,1022,261
05/01/2018,Self,AAPL,Stock,Sale (Partial),"$50,001 - $100,000",James M Inhofe,41,264
04/26/2018,Self,CHKP,Stock,Sale (Full),"$50,001 - $100,000",James M Inhofe,97,265
04/16/2018,Self,BLK,Stock,Sale (Partial),"$15,001 - $50,000",James M Inhofe,527,267
04/26/2018,Self,CVS,Stock,Purchase,"$1,001 - $15,000",Gary C Peters,68,265
04/03/2018,Joint,V,Stock,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse,118,259
04/03/2018,Joint,CVS,Stock,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse,62,259
04/03/2018,Joint,CMCSA,Stock,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse,33,259
04/03/2018,Joint,JPM,Stock,Sale (Partial),"$1,001 - $15,000",Sheldon Whitehouse,108,259
04/03/2018,Joint,WPC,Stock,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse,61,259
04/03/2018,Joint,AAPL,Stock,Sale (Partial),"$1,001 - $15,000",Sheldon Whitehouse,41,259
04/18/2018,Self,IBM,Stock,Purchase,"$50,001 - $100,000",John Hoeven,150,270
04/25/2018,Spouse,NVDA,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,54,262
04/11/2018,Spouse,CVX,Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,118,264
04/25/2018,Spouse,NFLX,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,303,262
04/23/2018,Spouse,NFLX,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,324,266
04/11/2018,Spouse,NFLX,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,305,264
04/25/2018,Joint,GLW,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",26,262
04/24/2018,Joint,C,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",69,264
04/24/2018,Joint,GIS,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",44,264
04/24/2018,Joint,MRK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",57,264
04/20/2018,Joint,CLX,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",116,267
04/20/2018,Joint,PG,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",74,267
04/20/2018,Joint,PEP,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",103,267
04/17/2018,Joint,DUK,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",78,269
03/19/2018,Spouse,FB,Stock,Sale (Partial),"$1,001 - $15,000",Sheldon Whitehouse,174,271
03/19/2018,Joint,FB,Stock,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse,174,271
03/19/2018,Self,FB,Stock,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse,174,271
03/28/2018,Spouse,FANUY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,24,260
03/28/2018,Spouse,WFC,Stock,Sale (Partial),"$15,001 - $50,000",Shelley M Capito,51,260
04/02/2018,Joint,URBN,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",36,259
04/02/2018,Joint,URBN,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",36,259
04/02/2018,Joint,CZR,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",32,259
03/29/2018,Joint,URBN,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",36,262
03/27/2018,Joint,DVN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",32,263
03/20/2018,Joint,URBN,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",36,270
03/20/2018,Joint,ENTG,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",36,270
03/13/2018,Joint,WMB,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",28,278
03/06/2018,Joint,URBN,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",36,272
03/27/2018,Self,UPS,Stock,Purchase,"$50,001 - $100,000",John Hoeven,103,263
03/05/2018,Self,WMT,Stock,Purchase,"$50,001 - $100,000",John Hoeven,89,270
03/05/2018,Self,CAT,Stock,Purchase,"$50,001 - $100,000",John Hoeven,148,270
03/09/2018,Joint,XLNX,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,76,277
03/09/2018,Joint,VRTX,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,174,277
03/09/2018,Joint,VWO,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,48,277
03/09/2018,Joint,TMO,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,215,277
03/09/2018,Joint,SYK,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,165,277
03/09/2018,Joint,XBI,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,95,277
03/09/2018,Joint,XSD,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,74,277
03/09/2018,Joint,RYT,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,161,277
03/09/2018,Joint,QCOM,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,62,277
03/09/2018,Joint,ISRG,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,146,277
03/09/2018,Joint,INTC,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,51,277
03/09/2018,Joint,ITW,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,168,277
03/09/2018,Joint,IYT,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,192,277
03/09/2018,Joint,IQV,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,104,277
03/09/2018,Joint,HON,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,146,277
03/09/2018,Joint,FDX,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,244,277
03/09/2018,Joint,DHR,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,102,277
03/09/2018,Joint,COST,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,186,277
03/09/2018,Joint,CSCO,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,45,277
03/09/2018,Joint,CVS,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,68,277
03/09/2018,Joint,AAPL,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,44,277
03/09/2018,Joint,ADI,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,94,277
03/09/2018,Joint,AMGN,Stock,Sale (Partial),"$1,001 - $15,000",John F Reed,189,277
02/28/2018,Spouse,RHHBY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,29,273
02/27/2018,Spouse,STT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,107,276
02/27/2018,Spouse,MDLZ,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,44,276
02/27/2018,Spouse,ICE,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,73,276
02/27/2018,Spouse,OXY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,67,276
02/27/2018,Spouse,CERN,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,64,276
