transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
05/24/2021,Joint,FCX,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,41,418
05/18/2021,Joint,FDSWX,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,17,413
05/10/2021,Joint,FCX,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,44,420
05/06/2021,Joint,X,Stock,Purchase,"$100,001 - $250,000",Thomas H Tuberville,25,416
06/24/2021,Spouse,USB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,56,425
06/23/2021,Spouse,JPM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,150,423
06/23/2021,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,133,423
06/28/2021,Self,OGN,Stock,Sale (Full),"$1,001 - $15,000",John W Hickenlooper,30,427
06/02/2021,Self,MRK,Stock,Purchase,"$1,001 - $15,000",John W Hickenlooper,72,420
06/03/2021,Spouse,NOK,Stock,Purchase,"$1,001 - $15,000",John W Hickenlooper,5,418
06/08/2021,Self,BA,Stock,Purchase,"$1,001 - $15,000","William F Hagerty, Iv",253,422
05/10/2021,Spouse,WFC,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,46,420
05/25/2021,Spouse,T,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,29,419
06/03/2021,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",46,418
05/19/2021,Spouse,CMG,Stock,Sale (Partial),"$100,001 - $250,000",John W Hickenlooper,1307,408
05/10/2021,Spouse,QRTEA,Stock,Sale (Full),"$100,001 - $250,000",John W Hickenlooper,13,420
05/10/2021,Spouse,TTD,Stock,Purchase,"$15,001 - $50,000",John W Hickenlooper,52,420
05/04/2021,Spouse,PTON,Stock,Purchase,"$1,001 - $15,000",John W Hickenlooper,95,414
04/26/2021,Spouse,WFC,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,44,417
04/01/2020,Joint,VZ,Stock,Purchase,"$1,001 - $15,000","Jerry Moran,",52,248
04/22/2021,Self,IWM,Stock,Sale (Full),"$1,001 - $15,000",John Boozman,222,414
04/20/2021,Self,NTRA,Stock,Sale (Partial),"$1,001 - $15,000","William F Hagerty, Iv",104,412
04/13/2021,Spouse,NUAN,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,52,412
04/13/2021,Spouse,GAN,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,18,412
04/13/2021,Spouse,TRIT,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,7,412
04/05/2021,Spouse,CWEN,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,28,405
04/16/2021,Spouse,AMAT,Stock,Sale (Full),"$50,001 - $100,000",Ron L Wyden,133,417
04/16/2021,Spouse,KLAC,Stock,Sale (Full),"$50,001 - $100,000",Ron L Wyden,336,417
