senator,ticker,owner,buybasis,sellbasis,totalamount,earning_rate,first_buy,last_sell,open_state
"David A Perdue , Jr",GPK,Joint,11.458033573141487,13.773635153129161,479750.0,0.20209415212533705,2019-01-08,2017-12-04,0.0
"David A Perdue , Jr",HAL,Joint,23.0,36.0,32500.0,0.5652173913043478,2021-11-15,2016-03-22,-1.0
"David A Perdue , Jr",HBI,Joint,18.586345381526105,15.174887892376681,590000.0,-0.1835464379425684,2018-01-16,2017-12-13,0.0
"David A Perdue , Jr",HCA,Joint,244.0,108.0,32500.0,-0.5573770491803278,2021-11-15,2020-04-14,-1.0
"David A Perdue , Jr",HD,Joint,372.0,199.0,32500.0,-0.4650537634408602,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",HON,Joint,108.0,140.0,32500.0,0.2962962962962963,2016-05-05,2020-04-14,0.0
"David A Perdue , Jr",HUN,Joint,13.5,16.0,24250.0,0.18518518518518517,2020-03-16,2020-04-14,0.0
"David A Perdue , Jr",IBM,Joint,119.0,134.0,32500.0,0.12605042016806722,2021-11-15,2019-03-21,-1.0
"David A Perdue , Jr",INFY,Joint,7.0,10.0,20000.0,0.42857142857142855,2017-06-20,2019-05-29,0.0
"David A Perdue , Jr",INTC,Joint,50.0,60.0,8000.0,0.2,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",IP,Joint,41.144329896907216,41.0,56750.0,-0.0035078927587070784,2015-08-24,2019-12-12,0.0
"David A Perdue , Jr",JCI,Joint,78.0,41.0,8000.0,-0.47435897435897434,2021-11-15,2019-07-25,-1.0
"David A Perdue , Jr",JNJ,Joint,126.33333333333333,145.289156626506,53500.0,0.15004609466891308,2018-01-24,2020-04-16,0.0
"David A Perdue , Jr",JPM,Joint,166.0,95.12359550561797,89000.0,-0.4269662921348315,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",KHC,Joint,72.37037037037037,78.0,52750.0,0.0777891504605937,2016-01-20,2017-12-26,0.0
"David A Perdue , Jr",KMI,Joint,21.80246913580247,15.992248062015504,93000.0,-0.26649371855987775,2017-03-23,2018-06-21,0.0
"David A Perdue , Jr",KN,Joint,18.647058823529413,13.785714285714286,124000.0,-0.26070301937809826,2015-01-08,2018-12-18,0.0
"David A Perdue , Jr",KO,Joint,46.0,47.797570850202426,73750.0,0.03907762717831361,2019-02-25,2019-09-30,0.0
"David A Perdue , Jr",KR,Joint,5.152263374485597,17.396145610278374,177500.0,2.376408453113135,2019-08-02,2020-03-20,0.0
"David A Perdue , Jr",LLY,Joint,258.0,153.0,8000.0,-0.4069767441860465,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",LNG,Joint,49.0,41.358024691358025,44250.0,-0.15595867976820357,2019-02-27,2020-04-15,0.0
"David A Perdue , Jr",LNT,Joint,55.0,30.14,1250000.0,-0.452,2021-11-15,2015-08-17,-1.0
"David A Perdue , Jr",LQDT,Joint,26.0,9.0,32000.0,-0.6538461538461539,2021-11-15,2015-08-07,-1.0
"David A Perdue , Jr",LYV,Joint,26.5,40.62451361867704,176500.0,0.5330005139123413,2016-01-13,2017-10-16,0.0
"David A Perdue , Jr",M,Joint,14.4,6.0,36250.0,-0.5833333333333334,2020-03-10,2020-04-14,0.0
"David A Perdue , Jr",MA,Joint,88.5,271.0,45500.0,2.062146892655367,2016-02-25,2020-04-14,0.0
